Team,Position,Wins,Draws,Losses,GoalsFor,GoalsAgainst,GoalDifference,Points
Manchester City,1,28,7,3,96,34,62,91
Arsenal,2,28,5,5,91,29,62,89
Liverpool,3,24,10,4,86,41,45,82
Aston Villa,4,20,8,10,76,61,15,68
Tottenham,5,20,6,12,74,61,13,66
Chelsea,6,18,9,11,77,63,14,63
Newcastle,7,18,6,14,85,62,23,60
Manchester United,8,18,6,14,57,58,-1,60
West Ham,9,14,10,14,60,74,-14,52
Crystal Palace,10,13,10,15,57,58,-1,49
Brighton,11,12,12,14,55,62,-7,48
Bournemouth,12,13,9,16,54,67,-13,48
Fulham,13,13,8,17,55,61,-6,47
Wolves,14,13,7,18,50,65,-15,46
Everton,15,13,9,16,40,51,-11,40
Brentford,16,10,9,19,56,65,-9,39
Nottingham Forest,17,9,9,20,49,67,-18,32
Luton,18,6,8,24,52,85,-33,26
Burnley,19,5,9,24,41,78,-37,24
Sheffield United,20,3,7,28,35,104,-69,16
